Step,Reward,F1
9996,93.9,0.1731
10001,93.9,0.1731
10007,93.9,0.1731
10013,93.9,0.1731
10019,93.9,0.1731
10026,93.9,0.1731
10032,93.9,0.1731
10038,93.9,0.1731
10045,93.9,0.1731
10052,93.9,0.1731
10059,93.9,0.1731
10066,93.9,0.1731
10073,93.9,0.1731
10080,93.9,0.1731
10087,93.9,0.1731
10093,93.9,0.1731
10099,93.9,0.1731
10105,93.9,0.1731
10112,93.9,0.1731
10118,93.9,0.1731
10124,93.9,0.1731
10130,93.9,0.1731
10136,93.9,0.1731
10142,93.9,0.1731
10148,93.9,0.1731
10154,93.9,0.1731
10160,93.9,0.1731
10167,93.9,0.1731
10173,93.9,0.1731
10179,93.9,0.1731
10185,93.9,0.1731
10191,93.9,0.1731
10197,93.9,0.1731
10203,93.9,0.1731
10210,93.9,0.1731
10217,93.9,0.1731
10224,93.9,0.1731
10231,93.9,0.1731
10238,93.9,0.1731
10245,93.9,0.1731
10252,93.9,0.1731
10259,93.9,0.1731
10266,93.9,0.1731
10273,93.9,0.1731
10280,93.9,0.1731
10287,93.9,0.1731
10294,93.9,0.1731
10301,93.9,0.1731
10308,93.9,0.1731
10315,93.9,0.1731
10321,93.9,0.1731
10328,93.9,0.1731
10335,93.9,0.1731
10342,93.9,0.1731
10349,93.9,0.1731
10355,93.9,0.1731
10361,93.9,0.1731
10367,93.9,0.1731
10374,93.9,0.1731
10380,93.9,0.1731
10387,93.9,0.1731
10394,93.9,0.1731
10401,93.9,0.1731
10408,93.9,0.1731
10415,93.9,0.1731
10422,93.9,0.1731
10429,93.9,0.1731
10435,93.9,0.1731
10441,93.9,0.1731
10448,93.9,0.1731
10455,93.9,0.1731
10462,93.9,0.1731
10468,93.9,0.1731
10474,93.9,0.1731
10480,93.9,0.1731
10486,93.9,0.1731
10492,93.9,0.1731
10498,93.9,0.1731
10504,93.9,0.1731
10511,93.9,0.1731
10518,93.9,0.1731
10525,93.9,0.1731
10532,93.9,0.1731
10539,93.9,0.1731
10546,93.9,0.1731
10552,93.9,0.1731
10558,93.9,0.1731
10564,93.9,0.1731
10570,93.9,0.1731
10576,93.9,0.1731
10582,93.9,0.1731
10588,93.9,0.1731
10595,93.9,0.1731
10602,93.9,0.1731
10608,93.9,0.1731
10614,93.9,0.1731
10620,93.9,0.1731
10626,93.9,0.1731
10632,93.9,0.1731
10638,93.9,0.1731
10644,93.9,0.1731
10650,93.9,0.1731
10656,93.9,0.1731
10662,93.9,0.1731
10668,93.9,0.1731
10674,93.9,0.1731
10681,93.9,0.1731
10688,93.9,0.1731
10694,93.9,0.1731
10701,93.9,0.1731
10707,93.9,0.1731
10713,93.9,0.1731
10719,93.9,0.1731
10725,93.9,0.1731
10731,93.9,0.1731
10738,93.9,0.1731
10744,93.9,0.1731
10750,93.9,0.1731
10757,93.9,0.1731
10764,93.9,0.1731
10770,93.9,0.1731
10776,93.9,0.1731
10782,93.9,0.1731
10788,93.9,0.1731
10794,93.9,0.1731
10800,93.9,0.1731
10807,93.9,0.1731
10814,93.9,0.1731
10820,93.9,0.1731
10827,93.9,0.1731
10834,93.9,0.1731
10841,93.9,0.1731
10848,93.9,0.1731
10855,93.9,0.1731
10862,93.9,0.1731
10869,93.9,0.1731
10875,93.9,0.1731
10881,93.9,0.1731
10887,93.9,0.1731
10893,93.9,0.1731
10899,93.9,0.1731
10905,93.9,0.1731
10911,93.9,0.1731
