Step,Reward,F1
9996,513.1,0.0239
10002,513.1,0.0239
10008,513.1,0.0239
10014,513.1,0.0239
10020,513.1,0.0239
10026,513.1,0.0239
10032,513.1,0.0239
10038,513.1,0.0239
10044,513.1,0.0239
10050,513.1,0.0239
10056,513.1,0.0239
10062,513.1,0.0239
10068,513.1,0.0239
10074,513.1,0.0239
10080,513.1,0.0239
10086,513.1,0.0239
10092,513.1,0.0239
10098,513.1,0.0239
10104,513.1,0.0239
10110,513.1,0.0239
10116,513.1,0.0239
10122,513.1,0.0239
10128,513.1,0.0239
10134,513.1,0.0239
10140,513.1,0.0239
10146,513.1,0.0239
10152,513.1,0.0239
10158,513.1,0.0239
10164,513.1,0.0239
10170,513.1,0.0239
10176,513.1,0.0239
10182,513.1,0.0239
10188,513.1,0.0239
10194,513.1,0.0239
10200,513.1,0.0239
10206,513.1,0.0239
10212,513.1,0.0239
10218,513.1,0.0239
10224,513.1,0.0239
10230,513.1,0.0239
10236,513.1,0.0239
10242,513.1,0.0239
10248,513.1,0.0239
10254,513.1,0.0239
10260,513.1,0.0239
10266,513.1,0.0239
10272,513.1,0.0239
10278,513.1,0.0239
10284,513.1,0.0239
10290,513.1,0.0239
10296,513.1,0.0239
10302,513.1,0.0239
10308,513.1,0.0239
10314,513.1,0.0239
10320,513.1,0.0239
10326,513.1,0.0239
10332,513.1,0.0239
10338,513.1,0.0239
10344,513.1,0.0239
10350,513.1,0.0239
10356,513.1,0.0239
10362,513.1,0.0239
10368,513.1,0.0239
10374,513.1,0.0239
10380,513.1,0.0239
10386,513.1,0.0239
10392,513.1,0.0239
10398,513.1,0.0239
10404,513.1,0.0239
10410,513.1,0.0239
10416,513.1,0.0239
10422,513.1,0.0239
10428,513.1,0.0239
10434,513.1,0.0239
10440,513.1,0.0239
10446,513.1,0.0239
10452,513.1,0.0239
10458,513.1,0.0239
10464,513.1,0.0239
10470,513.1,0.0239
10476,513.1,0.0239
10482,513.1,0.0239
10488,513.1,0.0239
10494,513.1,0.0239
10500,513.1,0.0239
10506,513.1,0.0239
10512,513.1,0.0239
10518,513.1,0.0239
10524,513.1,0.0239
10530,513.1,0.0239
10536,513.1,0.0239
10542,513.1,0.0239
10548,513.1,0.0239
10554,513.1,0.0239
10560,513.1,0.0239
10566,513.1,0.0239
10572,513.1,0.0239
10578,513.1,0.0239
10584,513.1,0.0239
10590,513.1,0.0239
10596,513.1,0.0239
10602,513.1,0.0239
10608,513.1,0.0239
10614,513.1,0.0239
10620,513.1,0.0239
10626,513.1,0.0239
10632,513.1,0.0239
10638,513.1,0.0239
10644,513.1,0.0239
10650,513.1,0.0239
10656,513.1,0.0239
10662,513.1,0.0239
10668,513.1,0.0239
10674,513.1,0.0239
10680,513.1,0.0239
10686,513.1,0.0239
10692,513.1,0.0239
10698,513.1,0.0239
10704,513.1,0.0239
10710,513.1,0.0239
10716,513.1,0.0239
10722,513.1,0.0239
10728,513.1,0.0239
10734,513.1,0.0239
10740,513.1,0.0239
10746,513.1,0.0239
10752,513.1,0.0239
10758,513.1,0.0239
10764,513.1,0.0239
10770,513.1,0.0239
10776,513.1,0.0239
10782,513.1,0.0239
10788,513.1,0.0239
10794,513.1,0.0239
10800,513.1,0.0239
10806,513.1,0.0239
10812,513.1,0.0239
10818,513.1,0.0239
10824,513.1,0.0239
10830,513.1,0.0239
10836,513.1,0.0239
10842,513.1,0.0239
10848,513.1,0.0239
10854,513.1,0.0239
10860,513.1,0.0239
10866,513.1,0.0239
10872,513.1,0.0239
10878,513.1,0.0239
10884,513.1,0.0239
10890,513.1,0.0239
10896,513.1,0.0239
