Step,Reward,F1
9999,263.0,0.057
10006,263.0,0.057
10013,263.0,0.057
10019,263.0,0.057
10026,263.0,0.057
10033,263.0,0.057
10040,263.0,0.057
10047,263.0,0.057
10054,263.0,0.057
10061,263.0,0.057
10068,263.0,0.057
10075,263.0,0.057
10082,263.0,0.057
10089,263.0,0.057
10096,263.0,0.057
10103,263.0,0.057
10110,263.0,0.057
10117,263.0,0.057
10123,263.0,0.057
10130,263.0,0.057
10136,263.0,0.057
10143,263.0,0.057
10150,263.0,0.057
10157,263.0,0.057
10164,263.0,0.057
10171,263.0,0.057
10178,263.0,0.057
10185,263.0,0.057
10192,263.0,0.057
10199,263.0,0.057
10206,263.0,0.057
10213,263.0,0.057
10220,263.0,0.057
10227,263.0,0.057
10234,263.0,0.057
10241,263.0,0.057
10248,263.0,0.057
10255,263.0,0.057
10262,263.0,0.057
10269,263.0,0.057
10276,263.0,0.057
10282,263.0,0.057
10289,263.0,0.057
10296,263.0,0.057
10303,263.0,0.057
10309,263.0,0.057
10316,263.0,0.057
10322,263.0,0.057
10329,263.0,0.057
10336,263.0,0.057
10342,263.0,0.057
10349,263.0,0.057
10356,263.0,0.057
10363,263.0,0.057
10370,263.0,0.057
10377,263.0,0.057
10384,263.0,0.057
10391,263.0,0.057
10398,263.0,0.057
10405,263.0,0.057
10412,263.0,0.057
10419,263.0,0.057
10426,263.0,0.057
10433,263.0,0.057
10439,263.0,0.057
10446,263.0,0.057
10453,263.0,0.057
10460,263.0,0.057
10467,263.0,0.057
10474,263.0,0.057
10481,263.0,0.057
10488,263.0,0.057
10495,263.0,0.057
10502,263.0,0.057
10509,263.0,0.057
10516,263.0,0.057
10523,263.0,0.057
10530,263.0,0.057
10537,263.0,0.057
10544,263.0,0.057
10551,263.0,0.057
10558,263.0,0.057
10565,263.0,0.057
10572,263.0,0.057
10579,263.0,0.057
10586,263.0,0.057
10593,263.0,0.057
10600,263.0,0.057
10607,263.0,0.057
10614,263.0,0.057
10621,263.0,0.057
10628,263.0,0.057
10634,263.0,0.057
10640,263.0,0.057
10647,263.0,0.057
10654,263.0,0.057
10660,263.0,0.057
10666,263.0,0.057
10673,263.0,0.057
10680,263.0,0.057
10687,263.0,0.057
10694,263.0,0.057
10701,263.0,0.057
10708,263.0,0.057
10715,263.0,0.057
10722,263.0,0.057
10729,263.0,0.057
10736,263.0,0.057
10743,263.0,0.057
10750,263.0,0.057
10756,263.0,0.057
10763,263.0,0.057
10770,263.0,0.057
10776,263.0,0.057
10782,263.0,0.057
10789,263.0,0.057
10796,263.0,0.057
10803,263.0,0.057
10810,263.0,0.057
10817,263.0,0.057
10824,263.0,0.057
10831,263.0,0.057
10838,263.0,0.057
10845,263.0,0.057
10851,263.0,0.057
10858,263.0,0.057
10865,263.0,0.057
10872,263.0,0.057
10879,263.0,0.057
10886,263.0,0.057
10893,263.0,0.057
10900,263.0,0.057
10907,263.0,0.057
10913,263.0,0.057
10920,263.0,0.057
10927,263.0,0.057
10934,263.0,0.057
10941,263.0,0.057
10948,263.0,0.057
10955,263.0,0.057
10962,263.0,0.057
10969,263.0,0.057
10976,263.0,0.057
10983,263.0,0.057
10990,263.0,0.057
10997,263.0,0.057
19998,351.9,0.0595
20005,351.9,0.0595
20012,351.9,0.0595
20019,351.9,0.0595
20026,351.9,0.0595
20032,351.9,0.0595
20039,351.9,0.0595
20046,351.9,0.0595
20053,351.9,0.0595
20060,351.9,0.0595
20066,351.9,0.0595
20073,351.9,0.0595
20080,351.9,0.0595
20087,351.9,0.0595
20094,351.9,0.0595
20101,351.9,0.0595
20107,351.9,0.0595
20113,351.9,0.0595
20119,351.9,0.0595
20125,351.9,0.0595
20131,351.9,0.0595
20137,351.9,0.0595
20144,351.9,0.0595
20151,351.9,0.0595
20158,351.9,0.0595
20165,351.9,0.0595
20172,351.9,0.0595
20179,351.9,0.0595
20186,351.9,0.0595
20193,351.9,0.0595
20200,351.9,0.0595
20207,351.9,0.0595
20214,351.9,0.0595
20221,351.9,0.0595
20228,351.9,0.0595
20235,351.9,0.0595
20242,351.9,0.0595
20249,351.9,0.0595
20256,351.9,0.0595
20263,351.9,0.0595
20270,351.9,0.0595
20277,351.9,0.0595
20284,351.9,0.0595
20291,351.9,0.0595
20298,351.9,0.0595
20305,351.9,0.0595
20312,351.9,0.0595
20319,351.9,0.0595
20326,351.9,0.0595
20333,351.9,0.0595
20340,351.9,0.0595
20347,351.9,0.0595
20354,351.9,0.0595
20361,351.9,0.0595
